Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
MERCEDES-BENZ GLE350,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MMBXT02.0U3A,small SUV,5,19,26,22,4,No,403
MERCEDES-BENZ GLE350 4Matic,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MMBXT02.0U3A,small SUV,5,19,26,22,4,No,409
MERCEDES-BENZ GLE350 4Matic,2,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MMBXT02.0U3A,small SUV,5,19,26,22,4,No,409
MERCEDES-BENZ Metris,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MMBXT02.0U3B,special purpose,5,18,22,19,3,No,457
MERCEDES-BENZ Metris,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MMBXT02.0U3B,special purpose,5,19,23,21,4,No,432
MERCEDES-BENZ Metris,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MMBXT02.0U3B,special purpose,5,18,22,19,3,No,457
MERCEDES-BENZ Metris,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MMBXT02.0U3B,special purpose,5,19,23,21,4,No,432
MINI Cooper S Clubman,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0B4X,midsize car,7,25,35,29,6,No,304
MINI Cooper S Clubman,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0B4X,midsize car,7,25,35,29,6,No,304
MINI Cooper S Clubman,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0B4X,midsize car,7,22,32,26,5,No,343
MINI Cooper S Clubman,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0B4X,midsize car,7,22,32,26,5,No,343
MINI Cooper S Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0B4X,midsize car,7,23,32,26,5,No,333
MINI Cooper S Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0B4X,midsize car,7,23,32,26,5,No,333
MINI Cooper S Convertible,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXV02.0B46,small car,7,26,34,29,6,No,307
MINI Cooper S Convertible,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXV02.0B46,small car,7,26,34,29,6,No,307
MINI Cooper S Convertible,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXV02.0B46,small car,7,23,32,26,5,No,336
MINI Cooper S Convertible,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXV02.0B46,small car,7,23,32,26,5,No,336
MINI Cooper S Countryman,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0B4X,midsize car,7,24,33,28,6,No,321
MINI Cooper S Countryman,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0B4X,midsize car,7,24,33,28,6,No,321
MINI Cooper S Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0B4X,midsize car,7,23,31,26,5,No,341
MINI Cooper S Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0B4X,midsize car,7,23,31,26,5,No,341
MINI Cooper S Hardtop,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXV02.0B46,small car,7,26,35,30,6,No,299
MINI Cooper S Hardtop,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXV02.0B46,small car,7,26,35,30,6,No,299
MINI Cooper S Hardtop,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MBMXV02.0B46,small car,7,23,33,27,6,No,329
MINI Cooper S Hardtop,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MBMXV02.0B46,small car,7,23,33,27,6,No,329
MINI JCW Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MBMXV02.0M48,midsize car,3,23,30,26,5,No,343
MINI JCW Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,MBMXV02.0M48,midsize car,3,23,30,26,5,No,343
MINI JCW Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MBMXV02.0M48,midsize car,3,23,30,26,5,No,343
MINI John Cooper Works Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MBMXV02.0M48,midsize car,3,23,31,26,5,No,339
